iter	Logloss
0	0.6155997781
1	0.5659764758
2	0.5286502046
3	0.4867354325
4	0.449560819
5	0.4157687195
6	0.3985031375
7	0.3744791265
8	0.3564462223
9	0.3440758553
10	0.3283037478
11	0.3141416368
12	0.3011142155
13	0.2822123239
14	0.2661677892
15	0.2551304156
16	0.2485163752
17	0.2391549622
18	0.2333883902
19	0.227642282
20	0.2235323545
21	0.2183504409
22	0.2144339638
23	0.2096405639
24	0.2052392207
25	0.1973570558
26	0.1933152454
27	0.1897721695
28	0.185474856
29	0.1826230842
30	0.1800422534
31	0.1776546581
32	0.1740834458
33	0.1694763494
34	0.1668942732
35	0.1620360806
36	0.1602381043
37	0.1579082443
38	0.1553605385
39	0.1533958483
40	0.1501558363
41	0.1470909314
42	0.1419684501
43	0.137990969
44	0.1354128013
45	0.1313198342
46	0.1279901215
47	0.1252419495
48	0.1219379487
49	0.1204958865
50	0.1178585849
51	0.1133358054
52	0.1107391414
53	0.1077187464
54	0.105932414
55	0.1025419873
56	0.1001317004
57	0.09925740163
58	0.09582347183
59	0.09349666382
60	0.09211101211
61	0.08989467496
62	0.08840106224
63	0.08601077621
64	0.08494885962
65	0.08269299819
66	0.08019001154
67	0.07854346752
68	0.07713402069
69	0.07574394154
70	0.0745012541
71	0.07301015518
72	0.07136617142
73	0.07005094004
74	0.06831561201
75	0.06733944406
76	0.06529512844
77	0.06349701419
78	0.06210615378
79	0.06117232412
80	0.0597967902
81	0.05832076214
82	0.05726571264
83	0.05615627633
84	0.05528053647
85	0.05407753457
86	0.05290784727
87	0.05179630943
88	0.05090743476
89	0.05007066559
90	0.04918008935
91	0.04830003142
92	0.04757267828
93	0.04679882255
94	0.04586634015
95	0.04484464185
96	0.04407525457
97	0.04319613846
98	0.04244139863
99	0.04168734096
100	0.04090245927
101	0.04046493445
102	0.03996939123
103	0.03944374707
104	0.03886273797
105	0.03818140799
106	0.03754702652
107	0.03711165423
108	0.03650520165
109	0.036013102
110	0.03548682827
111	0.03476676782
112	0.03416822843
113	0.03388984643
114	0.03350184325
115	0.03288102048
116	0.03253440654
117	0.03215103085
118	0.03171810101
119	0.03115327696
120	0.03084271572
121	0.0304600186
122	0.03002897376
123	0.02968854777
124	0.02919484951
125	0.0288572264
126	0.02860706059
127	0.02832881761
128	0.02801664052
129	0.02767411692
130	0.02752000875
131	0.02717451631
132	0.02674319285
133	0.02638832235
134	0.0261303182
135	0.02576473426
136	0.02556782009
137	0.02536023816
138	0.02508297111
139	0.02470409067
140	0.02438554385
141	0.02413625538
142	0.02389601898
143	0.0236060735
144	0.02331509522
145	0.02302777933
146	0.02285206512
147	0.02250782465
148	0.02232767017
149	0.02219202662
150	0.0219137631
151	0.0217899727
152	0.02166457333
153	0.02139486246
154	0.02120747961
155	0.02099832274
156	0.02089329985
157	0.02063691753
158	0.0205122758
159	0.02030124712
160	0.02008985693
161	0.01984445826
162	0.01963469785
163	0.0194912594
164	0.01937456534
165	0.0191811056
166	0.0190498833
167	0.01882583866
168	0.01877551323
169	0.01861374497
170	0.01842273656
171	0.01824202726
172	0.01806714434
173	0.01787601947
174	0.01770135863
175	0.01753701534
176	0.01737721942
177	0.01729979252
178	0.0171291547
179	0.01686424041
180	0.01665853942
181	0.0164917173
182	0.01640208989
183	0.01625005616
184	0.01613128682
185	0.01598802082
186	0.01585898003
187	0.01572487804
188	0.01568766758
189	0.01548792762
190	0.01533612483
191	0.01523894291
192	0.01508578927
193	0.01498290142
194	0.01486888208
195	0.01476985145
196	0.01464078305
197	0.01454881791
198	0.01443838362
199	0.01435557787
